NEWID,AGE_REF,AGE2,BATHRMQ,BEDROOMQ,BLS_URBN,CUTENURE,EDUC_REF,FAM_SIZE,FAM_TYPE,FINCBTAX,FINLWT21,FSALARYX,FSSIX,INC_RANK,MARITAL1,NO_EARNR,NUM_AUTO,OCCUCOD1,OCCUCOD2,OTHRINCX,PERSLT18,PERSOT64,POPSIZE,PRINEARN,QINTRVMO,QINTRVYR,RACE2,REF_RACE,REGION,SEX_REF,SEX2,SMSASTAT,ST_HOUS,VEHQ,WELFAREX,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,TOTEXPPQ,TOTEXPCQ,FDAWAYPQ,FDAWAYCQ,ALCBEVPQ,ALCBEVCQ,HOUSPQ,HOUSCQ,SHELTPQ,SHELTCQ,MRTINTPQ,MRTINTCQ,RNTXRPPQ,RNTXRPCQ,UTILPQ,UTILCQ,APPARPQ,APPARCQ,TRANSPQ,TRANSCQ,GASMOPQ,GASMOCQ,VEHFINPQ,VEHFINCQ,PUBTRAPQ,PUBTRACQ,HEALTHPQ,HEALTHCQ,HLTHINPQ,HLTHINCQ,MEDSRVPQ,MEDSRVCQ,PREDRGPQ,PREDRGCQ,ENTERTPQ,ENTERTCQ,PERSCAPQ,PERSCACQ,READPQ,READCQ,EDUCAPQ,EDUCACQ,TOBACCPQ,TOBACCCQ,MISCPQ,MISCCQ,CASHCOPQ,CASHCOCQ,LIFINSPQ,LIFINSCQ,RETPENPQ,RETPENCQ,STATE,TOTEX4PQ,TOTEX4CQ,UNISTRQ,INCLASS2,CUID,INTERI,HISP_REF,HISP2,HIGH_EDU,CREDITB,IRAB,LIQUIDB,STOCKB,DIVISION,GROCERPQ,GROCERCQ,inclass_label,inclass_short,educ_label,high_educ_label,occucod1_label,occucod1_broad,marital_label,fam_type_label,fam_type_broad,tenure_label,tenure_owner,region_label,urban_label,sex_ref_label,race_ref_label,hisp_ref_label,state_label,popsize_label,occucod2_label,race2_label,sex2_label,unistrq_label,FLAG_CQ_MISSING,TOTEXP_AVG_Q,TOTEXP_ANN,TOTEX4_AVG_Q,TOTEX4_ANN,HOUS_AVG_Q,HOUS_ANN,SHELT_AVG_Q,SHELT_ANN,UTIL_AVG_Q,UTIL_ANN,MRTINT_AVG_Q,MRTINT_ANN,RNTXRP_AVG_Q,RNTXRP_ANN,GROCER_AVG_Q,GROCER_ANN,FDAWAY_AVG_Q,FDAWAY_ANN,TRANS_AVG_Q,TRANS_ANN,GASMO_AVG_Q,GASMO_ANN,VEHFIN_AVG_Q,VEHFIN_ANN,PUBTRA_AVG_Q,PUBTRA_ANN,HEALTH_AVG_Q,HEALTH_ANN,HLTHIN_AVG_Q,HLTHIN_ANN,MEDSRV_AVG_Q,MEDSRV_ANN,PREDRG_AVG_Q,PREDRG_ANN,ENTERT_AVG_Q,ENTERT_ANN,EDUCA_AVG_Q,EDUCA_ANN,APPAR_AVG_Q,APPAR_ANN,TOBACC_AVG_Q,TOBACC_ANN,RETPEN_AVG_Q,RETPEN_ANN,LIFINS_AVG_Q,LIFINS_ANN,CASHCO_AVG_Q,CASHCO_ANN,PERSCA_AVG_Q,PERSCA_ANN,READ_AVG_Q,READ_ANN,ALCBEV_AVG_Q,ALCBEV_ANN,MISC_AVG_Q,MISC_ANN,EXPENSE_RATIO,HOUSING_RATIO,TRANSPORT_RATIO,HEALTH_RATIO,RETIRE_RATIO,FOOD_RATIO,LIFESTYLE_ANN,LIFESTYLE_RATIO,LIFESTYLE_SHARE,NECESSITY_ANN,NECESSITY_RATIO,NECESSITY_SHARE,DISCRETIONARY_ANN,DISCRETIONARY_RATIO,DISCRETIONARY_SHARE,HOUS_SHARE,GROCER_SHARE,FDAWAY_SHARE,TRANS_SHARE,HEALTH_SHARE,ENTERT_SHARE,EDUCA_SHARE,APPAR_SHARE,RETPEN_SHARE,CASHCO_SHARE,TOBACC_SHARE,ALCBEV_SHARE,MISC_SHARE,FOOD_TOTAL_SHARE,HOMEOWNER,HAS_CHILDREN,HAS_ELDERLY,SINGLE_EARNER,ZERO_EARNER,HOUSING_BURDENED,HOUSING_SEVERE,FLAG_REGION_UNKNOWN,FLAG_NEG_INCOME,FLAG_ZERO_INCOME,FLAG_INCOME_INVALID,FLAG_ZERO_SPEND,FLAG_EXTREME_RATIO,EDUC_REF_ORD,LOG_INCOME,INCOME_QUINTILE
5654534,65,65.0,2.0,3.0,1,2,13,2,1,155020,9464.528,0,0,0.8344882,1,0,2,,,,0,2,2,1,1,2025,4.0,1,2.0,1,2.0,1,2,2,,,20819.704,16947.997,,19161.393,20778.936,19212.667,,,21962.874,,17297.816,,,21940.385,18429.393,,17251.562,20736.705,,18587.564,,20797.4,21946.89,,,,21305.541,,,,,,24914.517,18533.484,16891.051,,19620.793,,,,24757.476,21276.202,21012.529,18379.0,0.0,1175.0,0.0,750.0,0.0,5954.0,0.0,3675.0,0.0,0.0,0.0,0.0,0.0,1114.0,0.0,100.0,0.0,2102.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,0.0,0.0,0.0,0.0,0.0,29.0,18379.0,0.0,3.0,6,565453,4,2,2.0,13,,3.0,6.0,4.0,4.0,2000.0,0.0,"$100,000-$149,999",$100-150K,"Some college, no degree","Some college, no degree",,,Married,Married couple only,Married couple,"Owned, no mortgage",Owner,Midwest,Urban,Male,White,Not Hispanic / Latino,Missouri,MSA under 1.5M,,Asian,Female,Apartment (2-4 units),1,18379.0,73516.0,18379.0,73516.0,5954.0,23816.0,3675.0,14700.0,1114.0,4456.0,0.0,0.0,0.0,0.0,2000.0,8000.0,1175.0,4700.0,2102.0,8408.0,650.0,2600.0,0.0,0.0,0.0,0.0,2100.0,8400.0,2100.0,8400.0,0.0,0.0,0.0,0.0,248.0,992.0,0.0,0.0,100.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,15600.0,50.0,200.0,0.0,0.0,750.0,3000.0,0.0,0.0,0.47423558250548314,0.15363178944652303,0.05423816281770094,0.054186556573345375,0.0,0.08192491291446265,24692.0,0.15928267320345763,0.33587246313727626,24808.0,0.16003096374661335,0.3374503509440122,24892.0,0.1605728293123468,0.3385929593557865,0.3239566897002013,0.10881984874041026,0.06393166113499102,0.11436966102617117,0.11426084117743077,0.013493661243810871,0.0,0.005440992437020512,0.0,0.21219870504379998,0.0,0.04080744327765384,0.0,0.17275150987540128,1,0,1,0,1,0,0,0,0,0,0,0,0,4,5.190387732552913,Q5 (Top 20%)
5654554,35,,1.0,2.0,1,4,12,2,7,0,23967.848,0,0,0.0696422,4,1,2,9.0,,,1,0,2,1,1,2025,,1,1.0,2,,1,2,2,,,44902.887,,49615.195,,,49272.998,45372.138,,43354.026,51593.696,,43944.673,,48134.758,45324.358,,,,45564.184,,,,,,48989.39,43491.1,47757.165,,53363.433,,,,46163.954,45864.011,46225.575,45215.917,51506.022,,43775.934,50855.924,46812.058,,,12392.3158,0.0,1950.0,0.0,0.0,0.0,2956.0,0.0,1800.0,0.0,0.0,0.0,1800.0,0.0,752.0,0.0,300.0,0.0,924.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4312.3158,0.0,42.0,12392.3158,0.0,3.0,7,565455,4,1,,12,,,,,2.0,1950.0,0.0,"$150,000 and over",$150K+,High school graduate,High school graduate,Private household service,Sales / service,Separated,Single mother,Single parent,Renter,Renter,Northeast,Urban,Female,White,Hispanic / Latino,Pennsylvania,MSA under 1.5M,,,,Apartment (2-4 units),1,12392.3158,49569.2632,12392.3158,49569.2632,2956.0,11824.0,1800.0,7200.0,752.0,3008.0,0.0,0.0,1800.0,7200.0,1950.0,7800.0,1950.0,7800.0,924.0,3696.0,225.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1200.0,0.0,0.0,4312.3158,17249.2632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,9000.0,,0.18156412702135946,11496.0,,0.23191791158194983,9000.0,,0.18156412702135946,0.23853491532228382,0.1573555767518449,0.1573555767518449,0.07456233483010495,0.0,0.0,0.0,0.024208550269514597,0.3479830460744069,0.0,0.0,0.0,0.0,0.3147111535036898,0,1,0,1,0,,,0,0,1,1,0,,3,,
5654574,30,31.0,2.0,4.0,1,1,16,3,2,112000,13373.017,102000,0,0.720761,1,2,0,2.0,15.0,,1,0,2,1,1,2025,1.0,1,4.0,2,1.0,1,2,2,,,22366.521,,27654.174,,27645.138,26496.513,,,,21807.312,,,,,,27300.289,31071.855,24760.868,,24957.881,,,,29081.268,27885.354,26632.825,29655.085,29658.903,,24910.296,30476.531,27445.616,,,22313.853,,28210.082,,,29275.049,26537.634,,29176.841,21550.7499,0.0,2900.0,0.0,0.0,0.0,5674.0,0.0,4055.0,0.0,2341.0,0.0,0.0,0.0,1322.0,0.0,600.0,0.0,3621.0,0.0,1050.0,0.0,821.0,0.0,0.0,0.0,1105.0,0.0,990.0,0.0,100.0,0.0,15.0,0.0,1880.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,2275.7499,0.0,6.0,21550.7499,0.0,3.0,5,565457,4,1,2.0,16,,1.0,,,9.0,2600.0,0.0,"$70,000-$99,999",$70-100K,Graduate / Professional degree,Graduate / Professional degree,Teacher,White collar,Married,"Married, children <6",Married with children,Owned with mortgage,Owner,West,Urban,Female,White,Hispanic / Latino,California,MSA under 1.5M,Armed forces,White,Male,Apartment (2-4 units),1,21550.7499,86202.9996,21550.7499,86202.9996,5674.0,22696.0,4055.0,16220.0,1322.0,5288.0,2341.0,9364.0,0.0,0.0,2600.0,10400.0,2900.0,11600.0,3621.0,14484.0,1050.0,4200.0,821.0,3284.0,0.0,0.0,1105.0,4420.0,990.0,3960.0,100.0,400.0,15.0,60.0,1880.0,7520.0,0.0,0.0,600.0,2400.0,260.0,1040.0,2275.7499,9102.9996,0.0,0.0,0.0,0.0,200.0,800.0,0.0,0.0,0.0,0.0,435.0,1740.0,0.7696696392857142,0.20264285714285715,0.12932142857142856,0.039464285714285716,0.08127678214285713,0.19642857142857142,22560.0,0.20142857142857143,0.2617078304082588,29304.0,0.2616428571428571,0.33994176694519573,25100.0,0.22410714285714287,0.29117316237798296,0.26328550172632276,0.1206454537343037,0.13456608301133874,0.16802199537381296,0.05127431783707907,0.0872359434694196,0.0,0.027841258554070086,0.10559956895049856,0.0,0.01206454537343037,0.0,0.02018491245170081,0.25521153674564245,1,1,0,0,0,0,0,0,0,0,0,0,0,7,5.049218022670182,Q4
5654624,38,,2.0,2.0,1,4,14,2,9,97000,79520.373,82000,0,0.6659856,3,2,0,2.0,,,0,0,4,1,1,2025,,3,3.0,2,,1,2,0,,165912.354,186686.634,,,,141951.286,,153704.12,173972.904,176431.634,,,,,,146594.506,,,,157850.465,197007.02,,158679.363,,157133.23,184160.435,,,136348.061,,,138111.01,,133774.811,,,148330.941,187294.698,196515.706,,146368.696,184235.983,176848.505,171791.234,15306.3501,0.0,650.0,0.0,0.0,0.0,6079.0,0.0,4368.0,0.0,0.0,0.0,4368.0,0.0,1294.0,0.0,300.0,0.0,3338.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,2187.3501,0.0,1.0,15801.3501,0.0,8.0,4,565462,4,2,,14,,,,,6.0,2275.0,0.0,"$50,000-$69,999",$50-70K,Associate's degree,Associate's degree,Teacher,White collar,Divorced,Other family,Other family,Renter,Renter,South,Urban,Female,Native American,Not Hispanic / Latino,Alabama,MSA 4M+,,,,,1,15306.3501,61225.4004,15801.3501,63205.4004,6079.0,24316.0,4368.0,17472.0,1294.0,5176.0,0.0,0.0,4368.0,17472.0,2275.0,9100.0,650.0,2600.0,3338.0,13352.0,420.0,1680.0,0.0,0.0,0.0,0.0,100.0,400.0,0.0,0.0,100.0,400.0,0.0,0.0,85.0,340.0,0.0,0.0,300.0,1200.0,0.0,0.0,2187.3501,8749.4004,0.0,0.0,0.0,0.0,100.0,400.0,0.0,0.0,0.0,0.0,192.0,768.0,0.6311896948453608,0.25068041237113403,0.13764948453608247,0.004123711340206186,0.09020000412371135,0.12061855670103093,4140.0,0.04268041237113402,0.06761899428917414,22852.0,0.2355876288659794,0.37324378200391484,5308.0,0.05472164948453608,0.08669604388573342,0.397155426361246,0.148631122712919,0.042466035060834004,0.2180794231277906,0.006533236163205231,0.005553250738724446,0.0,0.019599708489615692,0.14290474774910578,0.0,0.0,0.0,0.012543813433354043,0.191097157773753,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.986771734266245,Q4
5654634,70,,1.0,1.0,1,4,11,1,8,21612,44771.608,0,0,0.2071164,2,0,0,,,,0,1,1,1,1,2025,,1,3.0,1,,1,2,0,,,,,,91464.037,91531.769,94274.722,,91339.149,,,,75477.988,86737.663,82320.337,95139.035,89532.053,,90307.95,91816.754,76636.711,,,92377.584,,90719.199,,,100523.086,88600.22,,96987.468,86751.596,,101062.917,,77848.768,92748.584,,,,86308.043,,,5219.0,0.0,325.0,0.0,0.0,0.0,2202.0,0.0,1992.0,0.0,0.0,0.0,1992.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,525.0,0.0,645.0,0.0,150.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,48.0,5219.0,0.0,5.0,2,565463,4,1,,11,,,,,7.0,1040.0,0.0,"$15,000-$29,999",$15-30K,"High school, no diploma","High school, no diploma",,,Widowed,Single consumer,Single consumer,Renter,Renter,South,Urban,Male,White,Hispanic / Latino,Texas,Not in MSA,,,,Mobile home / trailer,1,5219.0,20876.0,5219.0,20876.0,2202.0,8808.0,1992.0,7968.0,0.0,0.0,0.0,0.0,1992.0,7968.0,1040.0,4160.0,325.0,1300.0,35.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,5280.0,525.0,2100.0,645.0,2580.0,150.0,600.0,177.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.965944845456228,0.40755136035535816,0.006477882657782714,0.24430871737923376,0.0,0.2526374236535258,2488.0,0.11512122894688136,0.11917991952481319,9580.0,0.4432722561539885,0.4589001724468289,2488.0,0.11512122894688136,0.11917991952481319,0.42191990802835794,0.1992718911668902,0.06227246598965319,0.006706265568116498,0.2529220157118222,0.03391454301590343,0.0,0.0,0.0,0.022992910519256563,0.0,0.0,0.0,0.2615443571565434,0,0,1,0,1,1,0,0,0,0,0,0,0,2,4.334694958867158,Q1 (Bottom 20%)
5654644,35,37.0,4.0,4.0,1,4,15,4,2,564567,25915.458,564367,0,0.9935798,1,2,0,3.0,3.0,,2,0,2,2,1,2025,1.0,1,3.0,2,1.0,1,2,2,,55299.835,56324.208,46374.741,38905.843,,,,,,45705.401,,,,40712.434,42486.659,,53159.447,,45089.632,57796.73,,,52088.119,,,44245.777,,47526.797,,,51888.085,40391.594,51863.817,,53804.324,58935.542,48476.694,55128.689,49414.834,,,,43691.864,,44505.5,0.0,2050.0,0.0,260.0,0.0,17246.0,0.0,13856.0,0.0,0.0,0.0,13856.0,0.0,990.0,0.0,2100.0,0.0,2381.0,0.0,820.0,0.0,111.0,0.0,1300.0,0.0,2075.0,0.0,1275.0,0.0,800.0,0.0,0.0,0.0,3985.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,500.0,0.0,0.0,0.0,10564.5,0.0,37.0,44505.5,0.0,3.0,6,565464,4,2,2.0,16,,,,,5.0,3250.0,0.0,"$100,000-$149,999",$100-150K,Bachelor's degree,Graduate / Professional degree,Professional,White collar,Married,"Married, children <6",Married with children,Renter,Renter,South,Urban,Female,White,Not Hispanic / Latino,North Carolina,MSA under 1.5M,Professional,White,Male,Apartment (2-4 units),1,44505.5,178022.0,44505.5,178022.0,17246.0,68984.0,13856.0,55424.0,990.0,3960.0,0.0,0.0,13856.0,55424.0,3250.0,13000.0,2050.0,8200.0,2381.0,9524.0,820.0,3280.0,111.0,444.0,1300.0,5200.0,2075.0,8300.0,1275.0,5100.0,800.0,3200.0,0.0,0.0,3985.0,15940.0,0.0,0.0,2100.0,8400.0,0.0,0.0,10564.5,42258.0,0.0,0.0,500.0,2000.0,70.0,280.0,0.0,0.0,260.0,1040.0,24.0,96.0,0.31532484186996407,0.1221892175773646,0.016869565525438078,0.01470153232477279,0.07485028349159621,0.03755090184158833,35580.0,0.0630217494114959,0.19986293828852614,30824.0,0.0545975942625056,0.17314713911763716,35956.0,0.06368774653849764,0.20197503679320533,0.38750266820954715,0.0730246823426318,0.046061722708429294,0.05349900574086349,0.046623451034141845,0.08953949511858085,0.0,0.0471851793598544,0.2373751558796104,0.011234566514251048,0.0,0.0058419745874105445,0.0005392591926840503,0.1190864050510611,0,1,0,0,0,0,0,0,0,0,0,0,0,6,5.751715489225791,Q5 (Top 20%)
5654654,54,53.0,6.0,6.0,1,2,16,4,4,250000,25592.146,250000,0,0.9404439,1,2,2,3.0,3.0,,1,0,2,1,1,2025,3.0,3,3.0,1,2.0,1,2,4,,,,56732.6,,,,57264.55,44232.798,43292.841,44974.925,59449.782,,66124.198,41312.495,44056.947,,,41804.731,,59336.048,,,48731.677,44268.213,,54538.784,47690.518,,44203.407,,61102.82,43478.642,,,,58727.763,,,,,,55279.08,45152.804,51169.075,139255.25,0.0,650.0,0.0,0.0,0.0,4871.0,0.0,1625.0,0.0,0.0,0.0,0.0,0.0,1884.0,0.0,550.0,0.0,1150.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,3573.0,0.0,3413.0,0.0,0.0,0.0,160.0,0.0,243.0,0.0,200.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,120627.0,0.0,360.0,0.0,4781.25,0.0,12.0,139255.25,0.0,4.0,6,565465,4,2,2.0,16,,5.0,,,5.0,1950.0,0.0,"$100,000-$149,999",$100-150K,Graduate / Professional degree,Graduate / Professional degree,Professional,White collar,Married,"Married, children >17",Married with children,"Owned, no mortgage",Owner,South,Urban,Male,Native American,Not Hispanic / Latino,Florida,MSA under 1.5M,Professional,Native American,Female,Apartment (5+ units),1,139255.25,557021.0,139255.25,557021.0,4871.0,19484.0,1625.0,6500.0,1884.0,7536.0,0.0,0.0,0.0,0.0,1950.0,7800.0,650.0,2600.0,1150.0,4600.0,750.0,3000.0,0.0,0.0,0.0,0.0,3573.0,14292.0,3413.0,13652.0,0.0,0.0,160.0,640.0,243.0,972.0,300.0,1200.0,550.0,2200.0,0.0,0.0,4781.25,19125.0,360.0,1440.0,120627.0,482508.0,200.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,2.228084,0.077936,0.0184,0.057168,0.0765,0.0416,488280.0,1.95312,0.8765917263442491,28132.0,0.112528,0.05050437954762926,490280.0,1.96112,0.8801822552471091,0.03497893257166247,0.01400306272115414,0.004667687573718046,0.008258216476578083,0.025657919539837815,0.0017449970467899774,0.0021543173417160216,0.003949581793146039,0.034334432633599095,0.8662294599305951,0.0,0.0,0.0,0.018670750294872186,1,1,0,0,0,0,0,0,0,0,0,0,0,7,5.3979400086720375,Q5 (Top 20%)
5654674,69,67.0,2.0,5.0,1,1,16,4,4,167468,19485.872,80000,15000,0.8583049,1,1,1,,4.0,,0,2,2,2,1,2025,1.0,1,1.0,1,2.0,1,2,3,,,,44365.33,,38887.438,,,31557.525,49728.839,,42407.868,33361.269,,44449.8,,35638.618,39513.466,,,,42142.254,,,,,,32182.587,33404.202,38023.582,,39598.86,,,,24713.143,40259.451,43663.818,39708.613,37071.342,,36809.6,44030.616,44280.053,,20090.5999,0.0,1560.0,0.0,0.0,0.0,6067.5999,0.0,3416.1871,0.0,589.0,0.0,0.0,0.0,1809.0,0.0,800.0,0.0,2836.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,2565.0,0.0,2565.0,0.0,0.0,0.0,0.0,0.0,642.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,627.0,0.0,1530.0,0.0,36.0,20090.5999,0.0,3.0,6,565467,4,2,2.0,16,,,,,2.0,2925.0,0.0,"$100,000-$149,999",$100-150K,Graduate / Professional degree,Graduate / Professional degree,,,Married,"Married, children >17",Married with children,Owned with mortgage,Owner,Northeast,Urban,Male,White,Not Hispanic / Latino,New York,MSA under 1.5M,Administrative / Clerical,White,Female,Apartment (2-4 units),1,20090.5999,80362.3996,20090.5999,80362.3996,6067.5999,24270.3996,3416.1871,13664.7484,1809.0,7236.0,589.0,2356.0,0.0,0.0,2925.0,11700.0,1560.0,6240.0,2836.0,11344.0,300.0,1200.0,0.0,0.0,0.0,0.0,2565.0,10260.0,2565.0,10260.0,0.0,0.0,0.0,0.0,642.0,2568.0,0.0,0.0,800.0,3200.0,0.0,0.0,1530.0,6120.0,627.0,2508.0,0.0,0.0,450.0,1800.0,0.0,0.0,0.0,0.0,88.0,352.0,0.47986719612105,0.14492559533761673,0.06773831418539661,0.061265435784746934,0.03654429502949817,0.10712494327274465,12008.0,0.07170325077029642,0.14942311404051203,35812.0,0.2138438388229393,0.4456312924732526,14160.0,0.08455346693099577,0.1762018066966731,0.30201188268151213,0.14559047587225107,0.0776482537985339,0.1411605434440014,0.1276716480725894,0.03195524290939664,0.0,0.03981961733258149,0.0761550181485621,0.0,0.0,0.0,0.004380157906583964,0.22323872967078498,1,0,1,1,0,0,0,0,0,0,0,0,0,7,5.223931833754326,Q5 (Top 20%)
5654694,78,80.0,2.0,4.0,1,2,15,2,1,4440,29826.189,0,0,0.1066184,1,0,1,,,,0,2,2,1,1,2025,1.0,1,2.0,2,1.0,1,2,2,,,59890.969,72888.606,55746.247,,,53699.307,,53890.65,,,76180.321,55635.154,,63023.862,53743.512,,61947.156,,55132.061,58686.862,,,,55543.69,,,,,,70233.753,62417.704,51200.422,,56963.709,,,,74549.314,58600.577,49303.622,60603.28,60580.654,,17747.0,0.0,471.0,0.0,186.0,0.0,11306.0,0.0,2798.0,0.0,0.0,0.0,0.0,0.0,1158.0,0.0,450.0,0.0,681.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,1365.0,0.0,1305.0,0.0,0.0,0.0,60.0,0.0,30.0,0.0,400.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,39.0,17747.0,0.0,4.0,7,565469,4,2,2.0,16,,,,,3.0,2340.0,0.0,"$150,000 and over",$150K+,Bachelor's degree,Graduate / Professional degree,,,Married,Married couple only,Married couple,"Owned, no mortgage",Owner,Midwest,Urban,Female,White,Not Hispanic / Latino,Ohio,MSA under 1.5M,,White,Male,Apartment (5+ units),1,17747.0,70988.0,17747.0,70988.0,11306.0,45224.0,2798.0,11192.0,1158.0,4632.0,0.0,0.0,0.0,0.0,2340.0,9360.0,471.0,1884.0,681.0,2724.0,240.0,960.0,0.0,0.0,0.0,0.0,1365.0,5460.0,1305.0,5220.0,0.0,0.0,60.0,240.0,30.0,120.0,0.0,0.0,450.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,1400.0,400.0,1600.0,48.0,192.0,186.0,744.0,120.0,480.0,15.988288288288288,10.185585585585585,0.6135135135135135,1.2297297297297298,0.0,2.5324324324324325,5948.0,1.3396396396396397,0.0837888093762326,17544.0,3.9513513513513514,0.2471403617512819,8220.0,1.8513513513513513,0.11579421874119569,0.6370654195075224,0.1318532709753761,0.02653969685017186,0.03837268270693638,0.0769144080689694,0.0016904265509663605,0.0,0.025356398264495407,0.0,0.019721643094607538,0.0,0.010480644615991436,0.006761706203865442,0.158392967825548,1,0,1,0,1,1,1,0,0,0,0,0,1,6,3.6473829701146196,Q1 (Bottom 20%)
5654724,71,,1.0,2.0,1,4,15,2,9,44456,32064.811,0,0,0.383354,2,0,1,,,,0,1,2,1,1,2025,,1,2.0,2,,1,2,1,,,75752.321,,,59497.169,,65587.119,,,61321.151,61727.171,,60649.021,60574.252,,58447.3,,57279.648,64504.254,,,,61877.373,,,,,,59446.316,66417.034,62449.262,,55114.806,,,,60581.343,67605.626,73706.264,65391.071,58143.134,,57031.128,65925.579,17875.0,0.0,2067.0,0.0,624.0,0.0,6711.0,0.0,4919.0,0.0,0.0,0.0,4919.0,0.0,865.0,0.0,260.0,0.0,1279.0,0.0,390.0,0.0,362.0,0.0,0.0,0.0,1836.0,0.0,1605.0,0.0,140.0,0.0,91.0,0.0,1520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,0.0,72.0,0.0,24.0,0.0,102.0,0.0,0.0,0.0,26.0,17875.0,0.0,10.0,3,565472,4,2,,15,,,,,3.0,2600.0,0.0,"$30,000-$49,999",$30-50K,Bachelor's degree,Bachelor's degree,,,Widowed,Other family,Other family,Renter,Renter,Midwest,Urban,Female,White,Not Hispanic / Latino,Michigan,MSA under 1.5M,,,,,1,17875.0,71500.0,17875.0,71500.0,6711.0,26844.0,4919.0,19676.0,865.0,3460.0,0.0,0.0,4919.0,19676.0,2600.0,10400.0,2067.0,8268.0,1279.0,5116.0,390.0,1560.0,362.0,1448.0,0.0,0.0,1836.0,7344.0,1605.0,6420.0,140.0,560.0,91.0,364.0,1520.0,6080.0,0.0,0.0,260.0,1040.0,780.0,3120.0,0.0,0.0,102.0,408.0,24.0,96.0,0.0,0.0,0.0,0.0,624.0,2496.0,72.0,288.0,1.608331833723232,0.6038330034191111,0.11508007917941335,0.1651970487673205,0.0,0.4199208205866475,21100.0,0.47462659708475796,0.2951048951048951,23268.0,0.5233939175814288,0.32542657342657344,21388.0,0.4811049127226921,0.29913286713286713,0.37544055944055943,0.14545454545454545,0.11563636363636363,0.07155244755244755,0.10271328671328671,0.08503496503496503,0.0,0.014545454545454545,0.0,0.0013426573426573427,0.04363636363636364,0.03490909090909091,0.004027972027972028,0.2610909090909091,0,0,1,0,1,1,1,0,0,0,0,0,0,6,4.6479303837773225,Q2
